site,pid,hab,method,secs,d_eff,area_ha,win_px,res,area_ratio,iou_orig,edge_pct,contrast,in_std,compact
northfieldfarm,19,LMEAD,sam2tile,8.94,15.0,4.001258176666689,1949342,0.3999735911892182,0.9607938779916358,0.9455940460510656,0.8475011005929609,0.3703943192958832,0.12650853395462036,3.884570955414228
northfieldfarm,20,LMEAD,sam2,1.32,15.0,1.4146818932834524,337545,0.3999735911892182,0.9569790323675104,0.7723334084437798,0.632228041256343,0.37930020689964294,0.0932866632938385,1.23724074975883
northfieldfarm,20,LMEAD,sam2iter,1.46,15.0,1.4146818932834524,337545,0.3999735911892182,0.9192508651693018,0.806514796678731,0.5939755422859616,0.37855449318885803,0.096619613468647,1.3083122956598696
northfieldfarm,20,LMEAD,sam2tile,1.58,15.0,1.4146818932834524,337545,0.3999735911892182,0.9848114722580353,0.9443724310610341,0.6539917293899478,0.060980312526226044,0.1145138368010521,1.1483861025157758
northfieldfarm,21,LMEAD,sam2,1.17,4.0,0.05664444424824838,250125,0.3999735911892182,1.168361581920904,0.6629116117850953,0.7082347936452303,0.5359504818916321,0.06037932261824608,12.654684275307604
northfieldfarm,21,LMEAD,sam2iter,1.07,4.0,0.05664444424824838,250125,0.3999735911892182,1.2022598870056498,0.6651003844510893,0.703410101989043,0.5478631854057312,0.06003503501415253,12.237298673605114
northfieldfarm,21,LMEAD,sam2tile,0.92,4.0,0.05664444424824838,250125,0.3999735911892182,0.9980225988700565,0.9980225988700565,0.5838973186719049,0.37609320878982544,0.06079807132482529,14.271598984165633
northfieldfarm,22,LMEAD,sam2,0.88,4.0,0.03780283687756876,139084,0.3999735911892182,2.414623837700761,0.35781512605042015,0.7527154877319107,0.265008807182312,0.31581583619117737,1.9483596026537675
northfieldfarm,22,LMEAD,sam2iter,0.87,4.0,0.03780283687756876,139084,0.3999735911892182,1.8778529163144548,0.38987548479281486,0.7755752924135473,0.3971704840660095,0.3444245755672455,2.5999426844657463
northfieldfarm,22,LMEAD,sam2tile,0.91,4.0,0.03780283687756876,139084,0.3999735911892182,1.254015215553677,0.6239342265529841,0.764798290697334,0.10998830944299698,0.35657036304473877,3.5928142158439393
northfieldfarm,23,LMEAD,sam2,1.06,4.0,0.09867124459015732,72828,0.3999735911892182,1.0261321214088621,0.562914736446726,0.5479844383072813,0.4204005300998688,0.3159162700176239,1.0513112940507903
northfieldfarm,23,LMEAD,sam2iter,1.0,4.0,0.09867124459015732,72828,0.3999735911892182,0.6857652978412595,0.6719253058596265,0.535154590414803,0.05956209450960159,0.22343437373638153,1.6502389933656214
